"","Sigla","COLABORADOR","PERMANENTE","VISITANTE","Total","Código CAPES","Nome","Instituição"
"1","UFBA-A-5-CC",7,25,4,36,"28001010095P3","CIÊNCIA DA COMPUTAÇÃO","UNIVERSIDADE FEDERAL DA BAHIA"
"2","UFPA-A-5-CC",6,23,0,29,"15001016047P9","CIÊNCIA DA COMPUTAÇÃO","UNIVERSIDADE FEDERAL DO PARÁ"
"3","UFPEL-A-5-C",7,22,0,29,"42003016038P9","COMPUTAÇÃO","UNIVERSIDADE FEDERAL DE PELOTAS"
"4","UFSC-A-5-CC",2,26,0,28,"41001010025P2","CIÊNCIAS DA COMPUTAÇÃO","UNIVERSIDADE FEDERAL DE SANTA CATARINA"
"5","UNB-A-5-I",0,31,1,32,"53001010054P6","INFORMÁTICA","UNIVERSIDADE DE BRASÍLIA"
